Id,SalePrice
2658,133902.42861908156
2718,169169.51411754356
2414,201565.39184992446
1989,106266.02074283785
625,169765.85117094545
333,89210.81735361116
1327,106625.1194599288
858,150508.33257600927
95,183075.56148619324
1568,167604.0462195213
2482,150316.25350557058
1364,124205.17851532524
2584,152414.01982413008
818,275478.8227617394
2673,143246.56644381586
2089,126783.43725814992
1297,144322.0459261465
790,116411.16443002385
2616,212029.2588000122
720,174126.25188567565
222,147005.36521205638
557,125101.98660675412
1148,185312.89314602077
2766,185373.7795187307
534,173138.09527605842
1452,118507.1421268869
630,133688.42639702122
2648,113517.713335406
125,157452.55103647368
1904,67632.10690747768
1670,113141.42350605235
756,107454.74995602146
717,170011.1228854264
1032,164748.9162038073
852,204245.21853425074
1731,170505.76573157738
2639,107307.02738435146
2071,88359.76969013894
1267,133312.4292950461
1851,195317.01786055625
567,155109.4802075237
2439,205730.46788231606
1898,153864.3350738386
647,153174.0258622827
2256,204902.68483575238
979,91554.7109062191
1444,214029.26417716703
2485,123255.5041611279
157,130086.1293815905
88,122480.91311081516
2003,111848.96922795207
186,193227.08239256722
1425,232993.85909673895
2695,130734.21546308864
738,111639.76286334501
395,152882.6561367128
1353,161162.04839726794
1878,143796.4279039649
390,163488.1666165976
1456,232146.41055158022
1103,329332.1533179203
1387,119687.34594767977
2070,135992.90388150356
1199,173234.27112587093
2479,177050.29022592545
501,316131.68740651285
2362,107197.18775852783
1718,192076.01123380626
2188,102413.26482928009
1483,151619.23661276943
2557,99086.07936464903
437,370854.9488292624
2224,200450.001094593
1628,171026.4742545186
397,136582.13098728983
587,187049.1628907823
971,149680.21427954477
2611,158703.19820615253
1887,103957.77643495647
2399,385262.5598166643
2148,195794.13434286055
304,118082.58401383915
1997,125028.97156681522
2817,119868.70578786757
1431,204299.91387969322
427,323361.8794186625
263,121921.39348825435
598,167751.67573261875
2895,211665.2383502776
687,145773.6107326423
1822,140664.56469050213
2191,99105.76199135186
179,116506.66765190985
1009,208188.6508882166
2010,131807.71214406795
1991,122063.12358034676
1411,153997.2865559503
1721,218037.593965522
1144,184350.2711592427
593,217140.03154518336
575,302105.71074204595
1249,168179.45644632657
1604,129955.03473830721
1064,563945.5611094006
1923,153364.08994321027
1988,108810.06620018906
2325,180258.32119330319
114,198591.68424996999
2700,168719.00289806884
217,130477.54220129496
343,171919.56935387696
386,217898.18697199147
2005,108238.57193423755
2908,136415.32672174738
1814,233508.85687600993
2446,607725.0350997949
208,128201.49726663803
1679,105471.04546019173
822,323600.5800874766
6,192182.68876445686
1781,410894.37935675296
2397,269449.0595468081
2340,316635.35695431044
1618,172785.2429067539
2843,120805.81868441717
1061,385608.8095135568
2786,124782.48883675822
1935,139519.93284553164
1341,116682.42250218024
521,271272.60963671084
2136,135343.59554239092
996,202776.03327615545
227,151762.9364198259
135,180809.62179826928
1167,156953.01672756602
294,247181.5134859484
1776,192969.30030116078
540,155456.0573501486
1717,189607.0222310747
2303,125794.77103649288
116,180746.81707739303
127,138962.00293719379
1371,135134.7185235404
1014,151390.11855312428
1507,104409.87891847722
702,118454.0394937881
750,138927.7063514481
261,145252.05604290732
1559,71712.9793812474
577,208009.4730260439
2812,196274.87339324944
2080,159393.48322565746
1368,106735.63140313013
2376,130908.5185736596
659,107337.48718439911
1235,131940.64373355833
332,83414.95244612567
1917,145298.6724427221
2094,254094.28444100695
1460,245949.76482313653
1471,216642.16371962128
1509,129584.48496502389
1922,139451.13308428126
433,682685.4594772366
460,242269.07325848786
1116,243646.4457185714
1137,155610.28520470878
53,169949.3416990988
2354,273493.9240698458
1475,196414.47599713065
1761,837266.3063289949
842,143081.74190065084
2739,178486.18530512694
2509,153420.543901436
1007,204434.83150801636
2610,180748.43667833527
1952,93874.7745418529
2719,172974.5056931194
2921,84700.09671571919
1966,137598.79360409992
292,115547.68993100045
1204,183872.34345293624
1829,246206.36631303793
2419,185068.32418536211
391,149668.57613952845
798,115396.8292807283
481,201553.50741322842
193,204719.2319068829
555,118654.75096270016
899,75848.6619672219
2357,175175.19090746416
328,117379.48285619183
1356,110615.50201811692
1154,120897.35915704024
1730,172514.5790005508
2249,157385.57818920372
1119,278219.41151608503
2856,141965.95835122513
1394,132402.35672514484
2587,121421.10978823576
61,309706.3196729502
2661,189630.39240315225
2711,132672.72291842563
1147,176723.1390841373
757,135348.41979011783
2623,101536.37147623261
2378,141532.3250915674
1413,134553.3178843723
1722,210495.92326443965
1112,213493.63589364893
1623,197150.24443344877
1201,186545.9260347634
1513,119136.60598067117
957,275031.9940331386
1171,264605.52458332403
1145,194979.44639547457
2726,233356.30524269675
703,140268.26661224524
760,99275.18956669408
1964,143989.80694072254
2512,174292.99657507223
159,142388.022355845
1281,166892.369426451
468,191673.052450667
290,117749.29790377192
665,89284.70979798434
1463,252281.90818841802
1792,226815.70814954353
923,164677.6332018531
500,250922.15500803123
1408,171187.2265049916
331,86509.07448075862
170,119278.26355965572
2192,101884.1000184238
2571,338512.94029314816
2314,184119.27235453864
2647,86629.03536768633
422,491583.22410575015
2457,377170.6488896865
1838,191033.09960087528
2805,241080.87508441758
1645,156343.57223490134
1711,300723.00856813387
2825,244275.84344583369
322,335327.49195903674
2103,237673.2058032285
342,122639.83923433974
600,117892.98211562716
488,178843.34145983768
1725,285746.66447062313
2246,283316.81495207245
2847,168185.27037149735
806,241877.27601742625
530,236452.65018834584
963,194726.44085718406
2678,105622.83415973371
171,90465.33012248932
2401,459240.6005251564
805,220640.8333939895
2259,213730.25476598943
1748,187073.39508362918
1361,132736.7261268146
1677,111021.80061427888
1406,143324.62465518646
2322,239847.6312992778
688,155025.94447012967
143,138689.35443685314
804,207677.3153857869
1214,160734.48075957256
2828,135250.78015183957
1999,169592.7131718161
2467,196732.25756959186
2665,135973.78291740996
1538,387520.08643435664
398,118445.8778323948
2822,139062.35927880113
2157,138809.6064172488
1856,184134.90940356068
1269,108715.82393002907
2570,120607.17757501137
2320,237880.30415434102
1517,115202.63075356485
2304,122114.0436903262
1312,102261.92048339364
2012,137469.89185571775
506,223921.98633132834
2865,206032.45538457498
2367,101809.2043475069
554,92317.76561468761
238,127956.81236384627
1954,119542.07877758275
2488,127239.8674409983
2291,86760.87230230855
1969,104868.9293302251
2725,162426.34663469318
1482,145655.67753911216
2763,191675.45869443085
503,247215.37749501292
1584,249562.25408275408
1531,160470.1947645662
2210,165982.68386323767
459,311959.9122326934
556,130632.02099901027
1347,122646.707902128
1290,88935.26111394558
1388,113321.32424683348
1571,197731.24265259277
2754,190355.17359363867
765,132768.94048721396
2494,129146.67212216771
2870,224277.66440074993
7,212640.15046158477
1114,244468.57538917198
2418,274799.69248253806
291,134112.4434127136
18,368329.96982034633
39,381802.93322770484
1001,253672.08497544428
2442,230467.3546579204
616,130264.2714594955
